pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
4buh	A	a	0	NA	NA	NA	NA		06/20/13	Human IgE against the major allergen Bet v 1 - Crystal structure of  clone M0418 scFv	HOMO SAPIENS	homo sapiens			Davies, A.M., Levin, M., Lilljekvist, M., Carlsson, F., Gould, H.J., Sutton, B.J., Ohlin, M.	1.3	X-RAY DIFFRACTION	0.1728	0.1453	True	True	unknown	unknown	unknown	None	None	None	None	None
4buh	B	b	0	NA	NA	NA	NA		06/20/13	Human IgE against the major allergen Bet v 1 - Crystal structure of  clone M0418 scFv	HOMO SAPIENS	homo sapiens			Davies, A.M., Levin, M., Lilljekvist, M., Carlsson, F., Gould, H.J., Sutton, B.J., Ohlin, M.	1.3	X-RAY DIFFRACTION	0.1728	0.1453	True	True	unknown	unknown	unknown	None	None	None	None	None
