pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
1wt5	A	C	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/16/04	The Crystal Structure Of A Humanized Antibody Fv 528	HOMO SAPIENS	homo sapiens	homo sapiens		Makabe, K., Tsumoto, K., Asano, R., Kondo, H., Kumagai, I.	2.1	X-RAY DIFFRACTION	0.301	0.273	False	True	IGHV1	IGKV2	Kappa	None	None	None	None	None
1wt5	B	D	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/16/04	The Crystal Structure Of A Humanized Antibody Fv 528	HOMO SAPIENS	homo sapiens	homo sapiens		Makabe, K., Tsumoto, K., Asano, R., Kondo, H., Kumagai, I.	2.1	X-RAY DIFFRACTION	0.301	0.273	False	True	IGHV1	IGKV2	Kappa	None	None	None	None	None
