pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	pmid
4g6f	H	L	0	P	peptide	NA	gp41 mper peptide	IMMUNE SYSTEM	07/19/12	Crystal Structure of 10E8 Fab in Complex with an HIV-1 gp41 Peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Ofek, G., Huang, J., Connors, M., Kwong, P.D.	2.1	X-RAY DIFFRACTION	0.218	0.180	False	True	IGHV3	IGLV3	Lambda	None	None	None
4g6f	B	D	0	F	peptide	NA	gp41 mper peptide	IMMUNE SYSTEM	07/19/12	Crystal Structure of 10E8 Fab in Complex with an HIV-1 gp41 Peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Ofek, G., Huang, J., Connors, M., Kwong, P.D.	2.1	X-RAY DIFFRACTION	0.218	0.180	False	True	IGHV3	IGLV3	Lambda	None	None	None
