pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	pmid
1ohq	A	NA	0	NA	NA	NA	NA	IMMUNOGLOBULIN	05/30/03	Crystal structure of HEL4, a soluble human VH antibody domain resistant to aggregation	HOMO SAPIENS	homo sapiens			Jespers, L., Schon, O., James, L.C., Veprintsev, D., Winter, G.	2.0	X-RAY DIFFRACTION	0.26	0.182	False	True	IGHV3	NA	NA	None	None	None
1ohq	B	NA	0	NA	NA	NA	NA	IMMUNOGLOBULIN	05/30/03	Crystal structure of HEL4, a soluble human VH antibody domain resistant to aggregation	HOMO SAPIENS	homo sapiens			Jespers, L., Schon, O., James, L.C., Veprintsev, D., Winter, G.	2.0	X-RAY DIFFRACTION	0.26	0.182	False	True	IGHV3	NA	NA	None	None	None
