pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	pmid
1jvk	NA	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/30/01	THREE-DIMENSIONAL STRUCTURE OF AN IMMUNOGLOBULIN LIGHT CHAIN DIMER ACTING AS A LETHAL AMYLOID PRECURSOR	HOMO SAPIENS		homo sapiens		Bourne, P.C., Ramsland, P.A., Shan, L., Fan, Z.-C., DeWitt, C.R., Shultz, B.B., Terzyan, S.S., Edmundson, A.B.	1.94	X-RAY DIFFRACTION	0.254	0.221	False	False	NA	IGLV2	Lambda	None	None	None
1jvk	NA	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/30/01	THREE-DIMENSIONAL STRUCTURE OF AN IMMUNOGLOBULIN LIGHT CHAIN DIMER ACTING AS A LETHAL AMYLOID PRECURSOR	HOMO SAPIENS		homo sapiens		Bourne, P.C., Ramsland, P.A., Shan, L., Fan, Z.-C., DeWitt, C.R., Shultz, B.B., Terzyan, S.S., Edmundson, A.B.	1.94	X-RAY DIFFRACTION	0.254	0.221	False	False	NA	IGLV2	Lambda	None	None	None
