pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
2kh2	B	b	13	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	14	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	15	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	16	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	17	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	18	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	19	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	20	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	21	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	22	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	23	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	24	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	25	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	26	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	27	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	28	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
