pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
1wcb	B	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/12/04	PLP-DEPENDENT CATALYTIC ANTIBODY 15A9 IN COMPLEX WITH ITS HAPTEN	MUS MUSCULUS	mus musculus	mus musculus		Pimpaneau, Beatrice Golinelli-, Christen, P.	2.5	X-RAY DIFFRACTION	0.2899	0.2230	False	True	IGHV7	IGKV4	Kappa	None	None	None	None	None
1wcb	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/12/04	PLP-DEPENDENT CATALYTIC ANTIBODY 15A9 IN COMPLEX WITH ITS HAPTEN	MUS MUSCULUS	mus musculus	mus musculus		Pimpaneau, Beatrice Golinelli-, Christen, P.	2.5	X-RAY DIFFRACTION	0.2899	0.2230	False	True	IGHV7	IGKV4	Kappa	None	None	None	None	None
