pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
4nhh	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/05/13	Structure of 2G12 IgG Dimer	HOMO SAPIENS	homo sapiens	homo sapiens		Wu, Y., West Jr., A.P., Kim, H.J., Thornton, M.E., Ward, A.B., Bjorkman, P.J.	6.5	X-RAY DIFFRACTION	0.366	0.381	False	True	unknown	IGKV1	Kappa	None	None	None	None	None
4nhh	M	K	0	B	protein	NA	2g12 igg dimer heavy chain	IMMUNE SYSTEM	11/05/13	Structure of 2G12 IgG Dimer	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Wu, Y., West Jr., A.P., Kim, H.J., Thornton, M.E., Ward, A.B., Bjorkman, P.J.	6.5	X-RAY DIFFRACTION	0.366	0.381	False	True	unknown	IGKV1	Kappa	None	None	None	None	None
4nhh	E	G	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/05/13	Structure of 2G12 IgG Dimer	HOMO SAPIENS	homo sapiens	homo sapiens		Wu, Y., West Jr., A.P., Kim, H.J., Thornton, M.E., Ward, A.B., Bjorkman, P.J.	6.5	X-RAY DIFFRACTION	0.366	0.381	False	True	unknown	IGKV1	Kappa	None	None	None	None	None
4nhh	I	F	0	D	protein	NA	2g12 igg dimer heavy chain	IMMUNE SYSTEM	11/05/13	Structure of 2G12 IgG Dimer	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Wu, Y., West Jr., A.P., Kim, H.J., Thornton, M.E., Ward, A.B., Bjorkman, P.J.	6.5	X-RAY DIFFRACTION	0.366	0.381	False	True	unknown	IGKV1	Kappa	None	None	None	None	None
4nhh	O	Q	0	C	protein	NA	2g12 igg dimer heavy chain	IMMUNE SYSTEM	11/05/13	Structure of 2G12 IgG Dimer	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Wu, Y., West Jr., A.P., Kim, H.J., Thornton, M.E., Ward, A.B., Bjorkman, P.J.	6.5	X-RAY DIFFRACTION	0.366	0.381	False	True	unknown	IGKV1	Kappa	None	None	None	None	None
4nhh	R	P	0	N	protein	NA	2g12 igg dimer heavy chain	IMMUNE SYSTEM	11/05/13	Structure of 2G12 IgG Dimer	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Wu, Y., West Jr., A.P., Kim, H.J., Thornton, M.E., Ward, A.B., Bjorkman, P.J.	6.5	X-RAY DIFFRACTION	0.366	0.381	False	True	unknown	IGKV1	Kappa	None	None	None	None	None
