pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
5i1d	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	02/05/16	CRYSTAL STRUCTURE OF HUMAN GERMLINE ANTIBODY IGHV3-23/IGKV4-1	HOMO SAPIENS	homo sapiens	homo sapiens		Teplyakov, A., Obmolova, G., Malia, T., Luo, J., Gilliland, G.	2.0	X-RAY DIFFRACTION	0.251	0.216	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None
5i1d	B	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	02/05/16	CRYSTAL STRUCTURE OF HUMAN GERMLINE ANTIBODY IGHV3-23/IGKV4-1	HOMO SAPIENS	homo sapiens	homo sapiens		Teplyakov, A., Obmolova, G., Malia, T., Luo, J., Gilliland, G.	2.0	X-RAY DIFFRACTION	0.251	0.216	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None
