pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	pmid
1ynt	B	A	0	F	protein	NA	major surface antigen p30	IMMUNE SYSTEM	01/25/05	Structure of the immunodominant epitope displayed by the surface antigen 1 (SAG1) of Toxoplasma gondii complexed to a monoclonal antibody	FINEGOLDIA MAGNA; TOXOPLASMA GONDII; MUS MUSCULUS	mus musculus	mus musculus	toxoplasma gondii	Graille, M., Stura, E.A., Bossus, M., Muller, B.H., Letourneur, O., Battail-Poirot, N, Sibai, G., Rolland, D., Le Du, M.H., Ducancel, F.	3.1	X-RAY DIFFRACTION	0.283	0.241	False	False	IGHV1	IGKV10	Kappa	None	None	None
1ynt	D	C	0	G	protein	NA	major surface antigen p30	IMMUNE SYSTEM	01/25/05	Structure of the immunodominant epitope displayed by the surface antigen 1 (SAG1) of Toxoplasma gondii complexed to a monoclonal antibody	FINEGOLDIA MAGNA; TOXOPLASMA GONDII; MUS MUSCULUS	mus musculus	mus musculus	toxoplasma gondii	Graille, M., Stura, E.A., Bossus, M., Muller, B.H., Letourneur, O., Battail-Poirot, N, Sibai, G., Rolland, D., Le Du, M.H., Ducancel, F.	3.1	X-RAY DIFFRACTION	0.283	0.241	False	False	IGHV1	IGKV10	Kappa	None	None	None
