pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
2q76	B	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	06/06/07	Mouse anti-hen egg white lysozyme antibody F10.6.6 Fab fragment	MUS MUSCULUS	mus musculus	mus musculus		Cauerhff, A., Klinke, S., Acierno, J.P., Goldbaum, F.A., Braden, B.C.	2.0	X-RAY DIFFRACTION	0.233	0.196	False	False	IGHV1	IGKV5	Kappa	None	None	None	None	None
2q76	D	C	0	NA	NA	NA	NA	IMMUNE SYSTEM	06/06/07	Mouse anti-hen egg white lysozyme antibody F10.6.6 Fab fragment	MUS MUSCULUS	mus musculus	mus musculus		Cauerhff, A., Klinke, S., Acierno, J.P., Goldbaum, F.A., Braden, B.C.	2.0	X-RAY DIFFRACTION	0.233	0.196	False	False	IGHV1	IGKV5	Kappa	None	None	None	None	None
