pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	pmid
1aif	H	L	0	NA	NA	NA	NA	IMMUNOGLOBULIN	11/14/94	ANTI-IDIOTYPIC FAB 409.5.3 (IGG2A) FAB FROM MOUSE	MUS MUSCULUS	mus musculus	mus musculus		Ban, N., Escobar, C., Hasel, K., Day, J., Greenwood, A., McPherson, A.	2.9	X-RAY DIFFRACTION	unknown	0.220	False	False	IGHV6	IGKV4	Kappa	None	None	None
1aif	B	A	0	NA	NA	NA	NA	IMMUNOGLOBULIN	11/14/94	ANTI-IDIOTYPIC FAB 409.5.3 (IGG2A) FAB FROM MOUSE	MUS MUSCULUS	mus musculus	mus musculus		Ban, N., Escobar, C., Hasel, K., Day, J., Greenwood, A., McPherson, A.	2.9	X-RAY DIFFRACTION	unknown	0.220	False	False	IGHV6	IGKV4	Kappa	None	None	None
