pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	pmid
4lmq	E	I	0	F	protein	NA	stromal cell-derived factor 1	cell adhesion/immune system	07/10/13	Development and Preclinical Characterization of a Humanized Antibody Targeting CXCL12	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Zhong, Z., Wang, J., Li, B., Xiang, H., Ultsch, M., Coons, M., Wong, T, Chiang, N.Y., Clark, S., Clark, R., Quintana, L., Gribling, P., Suto, E., Barck, K., Corpuz, R., Yao, J., Takkar, R., Lee, W.P., Damico-Beyer, L.A., Carano, R.D., Adams, C., Kelley, R.F., Wang, W., Ferrara, N.	2.773	X-RAY DIFFRACTION	0.301	0.253	False	True	IGHV3	IGKV1	Kappa	None	None	None
4lmq	H	L	0	D	protein	NA	stromal cell-derived factor 1	cell adhesion/immune system	07/10/13	Development and Preclinical Characterization of a Humanized Antibody Targeting CXCL12	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Zhong, Z., Wang, J., Li, B., Xiang, H., Ultsch, M., Coons, M., Wong, T, Chiang, N.Y., Clark, S., Clark, R., Quintana, L., Gribling, P., Suto, E., Barck, K., Corpuz, R., Yao, J., Takkar, R., Lee, W.P., Damico-Beyer, L.A., Carano, R.D., Adams, C., Kelley, R.F., Wang, W., Ferrara, N.	2.773	X-RAY DIFFRACTION	0.301	0.253	False	True	IGHV3	IGKV1	Kappa	None	None	None
